dataid,local_15min,use,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,car1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,gen,grid,heater1,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,shed1,sprinkler1,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1
9737,1/30/2013 13:00,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.035133333,0.009,0.235133333,,,,,,0.0474,,,,,,0.003,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 12:45,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.035466667,0.009,0.235466667,,,,,,0,,,,,,0.003,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 12:30,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.0348,0.009,0.232866667,,,,,,0.0464,,,,,,0.003,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 12:15,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.034933333,0.009,0.234066667,,,,,,0,,,,,,0.003,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 12:00,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.035066667,0.009066667,0.234666667,,,,,,0.046733333,,,,,,0.002,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 11:45,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.0348,0.009,0.235666667,,,,,,0,,,,,,0.003,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 11:30,,,,,,,,,,,,,,,0,,0,,0.005,,,,,0.034733333,0.009,0.234333333,,,,,,0.047,,,,,,0.003,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 11:15,,,,,,,,,,,,,,,0,,0,,0.004666667,,,,,0.0348,0.009,0.2338,,,,,,0.0002,,,,,,0.0028,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 11:00,,,,,,,,,,,,,,,0,,0.001,,0.0006,,,,,0.034733333,0.009,0.232,,,,,,0.050066667,,,,,,0.0022,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 10:45,,,,,,,,,,,,,,,0,,0.0004,,0,,,,,0.034666667,0.009,0.232333333,,,,,,0.003,,,,,,0.0026,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 10:30,,,,,,,,,,,,,,,0,,0.0012,,0.0006,,,,,0.034733333,0.009,0.231866667,,,,,,0.0504,,,,,,0.0016,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 10:15,,,,,,,,,,,,,,,0,,0.003,,0,,,,,0.034666667,0.009,0.231866667,,,,,,0.003533333,,,,,,0,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 10:00,,,,,,,,,,,,,,,0,,0.0006,,0.0008,,,,,0.034733333,0.009,0.2328,,,,,,0.0502,,,,,,0.0022,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
9737,1/30/2013 9:45,,,,,,,,,,,,,,,0,,0.0008,,0,,,,,0.034733333,0.009,0.232666667,,,,,,0.003,,,,,,0.0028,,,,,,0,,,,0,,,,,,,,,,,,,,,0,,,,
